id_code,gender,gc_score,syn_graph_col,syn_seq_space,scsq_imagery,scsq_techspace,scsq_language,scsq_organise,scsq_global,scsq_system
358,0,NA,No,No,3.82,2.71,3.67,3,3,3
359,0,NA,No,No,3.76,2.18,4.33,4.17,3.25,3.5
360,0,NA,No,No,4,3,3.67,3.83,3.13,2.67
361,0,NA,No,No,4.41,3.29,3.83,3.17,2.13,3.17
362,0,NA,No,No,3.41,2.71,3.67,3.5,2.88,1.83
363,0,NA,No,No,3.65,1.53,5,4.5,2.38,4
364,0,NA,No,No,3.71,3.53,4,3.33,3,3.5
365,0,NA,No,No,4.24,3.71,4.5,2,2.38,2.5
366,0,NA,No,No,3.24,2.82,4,2.33,3.5,3
367,0,NA,No,No,4.24,2.41,3.83,3.67,1.63,3.33
368,0,NA,No,No,3.53,2.47,3.5,4.17,2.13,3.33
369,0,NA,No,No,3.76,3.12,3.83,3.83,2.63,3
370,0,NA,No,No,4.47,2.29,2.5,2,2.75,3.33
371,0,NA,No,No,4,2.41,2.33,4,2.88,2.67
372,0,NA,No,No,4.53,2.94,3.67,2,2.5,1.83
373,0,NA,No,No,3.35,1.65,3,1.83,3.25,2.5
374,0,NA,No,No,4.29,2.71,3.67,3,3.38,2.83
375,0,NA,No,No,3.82,3.06,3,3.33,3,2.67
376,0,NA,No,No,3.59,2.65,4.83,3.5,3.63,2.67
377,0,NA,No,No,4.06,2.35,2.83,3.17,3.5,2.17
378,0,NA,No,No,4.12,2.41,4.67,2.17,2.75,1.83
379,0,NA,No,No,3.29,2.06,2.67,2.17,3.5,1.83
380,0,NA,No,No,3.29,1.94,4.5,2.83,3.63,3.5
381,0,NA,No,No,3,2.12,4.33,2.5,3.88,2.5
382,0,NA,No,No,3.06,2.59,2.33,3.33,2.75,2
383,0,NA,No,No,4.06,3.29,3,3,2.5,2.67
384,0,NA,No,No,3.35,1.71,5,2.5,4.13,3.17
385,0,NA,No,No,4,2.12,2.67,3.5,3.75,2
386,0,NA,No,No,3.53,1.41,3.5,2.67,1.75,2.33
387,0,NA,No,No,3.71,2.59,2.5,2.83,2.63,2.5
388,0,NA,No,No,4,2.88,3.33,2.33,3,2.33
389,0,NA,No,No,3.06,2.88,1.67,2.67,3.5,1.5
390,0,NA,No,No,3.12,2.76,3,3.17,2.63,2.83
391,0,NA,No,No,3.82,1.88,4,3,3.5,2.83
392,0,NA,No,No,3.53,2.76,4.17,3.33,3.13,2.83
393,0,NA,No,No,3.88,2.59,3.5,3.5,2.75,3
394,0,NA,No,No,4.29,3.53,2.83,3.33,2.13,3.5
395,0,NA,No,No,4,2.41,4.67,1.83,3.38,3.67
396,0,NA,No,No,4,2.47,3.67,3.5,3.38,2.5
397,0,NA,No,No,4.18,2.82,4.5,3,2.25,2.5
398,0,NA,No,No,4.18,3,2.33,2.83,2.38,2
