recordeddate,id,gender,age,height,weight,instagram,condition,choice_perc,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,bss1,bss2,bss3,bss4,bss5,bss6,bss7,bss8,bss9,bss10,bss11,bss12,bss13,bss14,bss15,bss16,bss17,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,sac1,sac2,sac3,sac4,pacsr1,pacsr2,pacsr3,pacsr4
2017-12-15T13:46:50Z,NXI7526,Female,18-29,1.62,60,Yes,Control,33.3333333,4,1,2,1,4,1,1,1,3,1,2,4,1,3,1,3,4,1,3,1,3,7,6,6,6,3,3,6,6,6,6,3,1,6,6,3,5,4,3,4,2,3,3,3,3,4,4,NA,NA,NA,NA,10,10,9,10
2017-12-16T05:16:22Z,HCY0822,Female,18-29,1.54,57,Yes,BPaverage,33.3333333,4,1,1,1,4,1,1,1,4,4,1,2,1,4,1,3,3,1,1,1,2,5,6,3,7,6,6,5,6,5,4,5,1,3,3,5,4,3,2,4,3,4,2,3,2,2,3,5,5,5,4,9,10,9,9
2017-12-16T07:47:24Z,QVP8471,Female,18-29,1.67,114.3,Yes,BPlarger,0,3,2,3,1,4,2,3,3,2,2,1,3,2,3,1,5,2,1,1,1,1,4,4,1,2,4,6,5,6,4,1,1,1,1,5,2,1,2,2,2,1,1,1,2,1,1,3,5,5,3,5,9,7,10,7
2017-12-16T09:08:46Z,QHM2369,Female,18-29,1.7,70,Yes,BPaverage,33.3333333,1,1,1,1,2,1,1,1,1,4,1,1,1,3,1,2,1,1,1,1,5,3,5,3,6,5,5,6,7,5,4,5,2,3,6,5,6,4,3,4,3,3,3,4,4,4,3,3,1,2,1,7,6,6,6
2017-12-16T09:29:06Z,ZGY8003,Female,50+,1.62,67.58,No,BPaverage,33.3333333,3,1,2,1,3,1,1,1,3,2,1,3,1,3,1,2,4,1,4,1,2,6,3,1,2,3,1,7,5,5,1,3,3,3,1,1,2,5,4,5,5,4,3,4,5,5,5,1,2,1,1,6,7,6,6
2017-12-16T12:21:57Z,LJX8794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-17T03:05:43Z,RRB8521,Female,18-29,1.76,64,Yes,BPlarger,33.3333333,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,5,3,4,5,5,4,6,7,7,3,5,5,3,4,3,4,5,3,4,3,4,3,3,4,5,3,1,1,1,1,6,6,6,7
2017-12-17T04:10:27Z,VLE5283,Female,18-29,1.51,50,Yes,Control,NA,2,1,2,1,1,1,1,1,1,1,1,2,1,3,1,3,3,1,1,1,6,5,5,6,5,3,5,6,7,6,6,5,5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-17T11:56:38Z,XNF9949,Female,18-29,1.62,49.44,Yes,Control,NA,3,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,2,1,1,1,6,6,6,6,6,6,6,6,7,6,6,6,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-17T14:26:08Z,VMG5438,Female,18-29,1.7,69.85,Yes,Control,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,4,4,4,3,3,4,3,4,4,1,1,1,1,7,7,7,7
